comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,fva_daily::recogidas_ege::h7,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h8,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h8,wape,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h8,bias,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h8,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h9,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h9,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h9,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h9,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h10,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h10,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h10,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h10,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h11,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h11,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h11,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h11,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h12,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h12,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h12,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h12,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h13,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h13,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h13,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h13,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h14,mae,3.0,3.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h14,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h14,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h14,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h15,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h15,wape,,,,
